,Chromophore,Solvent,Absorption max (nm),Emission max (nm),Lifetime (ns),Quantum yield,log(e/mol-1 dm3 cm-1),Reference,Tag
0,N#Cc1cc2ccc(O)cc2oc1=O,O,355.0,410.0,2.804262479,,,DOI: 10.1021/acs.jpcb.5b09905,1
1,N#Cc1cc2ccc([O-])cc2oc1=O,O,408.0,450.0,3.961965135,,,DOI: 10.1021/acs.jpcb.5b09905,2
2,CCCCCCCCCCCC#CC#CCCCCCCCCCN1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)N(CCCCCCCCCC#CC#CCCCCCCCCCCCC)C5=O,ClC(Cl)Cl,526.0,535.0,3.602954423,,,https://doi.org/10.1002/smll.201901342,3
3,[O-]c1c(-c2nc3ccccc3s2)cc2ccc3cccc4ccc1c2c34,CC#N,514.0,553.72,3.81,,,https://doi.org/10.1016/j.snb.2018.10.043,4
4,[O-]c1c(-c2nc3ccccc3s2)cc2ccc3cccc4ccc1c2c34,CS(C)=O,524.0,555.0,4.7,,,https://doi.org/10.1016/j.snb.2018.10.043,5
5,CCN(CC)c1ccc2c(C)cc(=O)oc2c1,C1CCCCC1,350.0,395.0,2.8,,,DOI: 10.1021/j100248a024,6
6,CCN(CC)c1ccc2c(C)cc(=O)oc2c1,CCOC(C)=O,361.0,416.0,3.1,,,DOI: 10.1021/j100248a024,7
7,CCN(CC)c1ccc2c(C)cc(=O)oc2c1,CC#N,367.0,430.0,3.4,,,DOI: 10.1021/j100248a024,8
8,CCN(CC)c1ccc2c(C)cc(=O)oc2c1,CCO,394.6666666666667,452.5,2.763333333333333,0.41,,"DOI: 10.1021/j100248a024, doi:10.1016/j.dyepig.2006.09.010, https://doi.org/10.1016/j.chemphys.2005.04.018",9
9,CCN(CC)c1ccc2c(C)cc(=O)oc2c1,OCC(O)CO,384.0,463.0,3.8,,,DOI: 10.1021/j100248a024,10
10,CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,C1CCCCC1,376.0,433.0,4.1,,,DOI: 10.1021/j100248a024,11
11,CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,CCOC(C)=O,392.0,479.0,4.6,,,DOI: 10.1021/j100248a024,12
12,CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,CC#N,396.0,501.0,0.6,,,DOI: 10.1021/j100248a024,13
13,CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,CCO,400.0,509.0,0.85,,,DOI: 10.1021/j100248a024,14
14,CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,OCC(O)CO,413.0,524.0,2.7,,,DOI: 10.1021/j100248a024,15
15,Cc1cc(=O)oc2c3c4c(cc12)CCCN4CCC3,C1CCCCC1,361.0,407.0,2.6,,,DOI: 10.1021/j100248a024,16
16,Cc1cc(=O)oc2c3c4c(cc12)CCCN4CCC3,CC#N,380.0,450.0,3.3,,,DOI: 10.1021/j100248a024,17
17,Cc1cc(=O)oc2c3c4c(cc12)CCCN4CCC3,CCO,387.0,473.0,4.52,0.8,,"DOI: 10.1021/j100248a024, http://dx.doi.org/10.1016/j.dyepig.2013.09.008",18
18,Cc1cc(=O)oc2c3c4c(cc12)CCCN4CCC3,O,396.0,489.0,5.9,,,DOI: 10.1021/j100248a024,19
19,O=c1cc(C(F)(F)F)c2cc3c4c(c2o1)CCCN4CCC3,C1CCCCC1,393.0,455.0,4.3,,,DOI: 10.1021/j100248a024,20
20,O=c1cc(C(F)(F)F)c2cc3c4c(c2o1)CCCN4CCC3,CCOC(C)=O,409.0,501.0,5.4,,,DOI: 10.1021/j100248a024,21
21,O=c1cc(C(F)(F)F)c2cc3c4c(c2o1)CCCN4CCC3,CC#N,418.0,521.0,5.6,,,DOI: 10.1021/j100248a024,22
22,O=c1cc(C(F)(F)F)c2cc3c4c(c2o1)CCCN4CCC3,CCO,421.0,531.0,3.9799999999999995,0.62,,"DOI: 10.1021/j100248a024, http://dx.doi.org/10.1016/j.dyepig.2013.09.008",23
23,O=c1cc(C(F)(F)F)c2cc3c4c(c2o1)CCCN4CCC3,OCC(O)CO,434.0,546.0,3.5,,,DOI: 10.1021/j100248a024,24
24,CN1CCCc2cc3c(C(F)(F)F)cc(=O)oc3cc21,C1CCCCC1,382.0,439.0,4.2,,,DOI: 10.1021/j100248a024,25
25,CN1CCCc2cc3c(C(F)(F)F)cc(=O)oc3cc21,CC#N,405.0,510.0,5.6,,,DOI: 10.1021/j100248a024,26
26,CN1CCCc2cc3c(C(F)(F)F)cc(=O)oc3cc21,CCO,408.0,515.0,5.1,,,DOI: 10.1021/j100248a024,27
27,Nc1ccc2c(C(F)(F)F)cc(=O)oc2c1,CC#N,366.0,463.0,5.165,0.57,,"DOI: 10.1021/j100248a024, 10.1021/jp003157m",28
28,CCN(CC)c1ccc2cc(-c3nc4ccccc4s3)c(=O)oc2c1,CC#N,450.5,503.8,2.875,0.43,,"DOI: 10.1021/j100248a024, https://doi.org/10.1016/j.cplett.2005.03.070",29
29,CCN(CC)c1ccc2cc(-c3nc4ccccc4n3C)c(=O)oc2c1,CC#N,403.0,480.0,2.8,,,DOI: 10.1021/j100248a024,30
30,CCNc1cc2oc(=O)cc(C)c2cc1C,CC#N,354.0,420.0,3.5,,,DOI: 10.1021/j100248a024,31
31,CCNc1cc2oc(=O)cc(C(F)(F)F)c2cc1C,CC#N,383.0,481.0,7.7,,,DOI: 10.1021/j100248a024,32
32,CCNc1cc2oc3c/c(=[NH+]\CC)c(C)cc-3c(-c3ccccc3C(=O)OCC)c2cc1C,CO,530.0,555.0,3.7,,,doi/10.1021/j100535a016,33
33,CCN(CC)c1ccc2c(c1)OC1=CC(N(CC)CC)C=CC1[C+]2c1ccccc1C(=O)O,O,,,1.52,,,https://doi.org/10.1111/j.1751-1097.1999.tb08277.x,34
34,O=C([O-])c1ccccc1-c1c2ccc(=O)cc-2oc2cc([O-])ccc12,O,,,4.16,0.95,,https://doi.org/10.1111/j.1751-1097.1999.tb08277.x,35
35,CCN(CC)c1ccc2c(-c3ccccc3C(=O)[O-])c3ccc(=[N+](CC)CC)cc-3oc2c1,[2H]O[2H],,,1.84,,,https://doi.org/10.1111/j.1751-1097.1999.tb08277.x,36
36,CCN(CC)c1ccc2c(c1)OC1=CC(N(CC)CC)C=CC1[C+]2c1ccccc1C(=O)O,[2H]O[2H],,,1.64,,,https://doi.org/10.1111/j.1751-1097.1999.tb08277.x,37
37,CCNc1cc2oc3c/c(=[NH+]\CC)c(C)cc-3c(-c3ccccc3C(=O)OCC)c2cc1C,[2H]O[2H],,,4.36,,,https://doi.org/10.1111/j.1751-1097.1999.tb08277.x,38
38,O=C([O-])c1ccccc1-c1c2ccc(=O)cc-2oc2cc([O-])ccc12,[2H]O[2H],,,4.36,,,https://doi.org/10.1111/j.1751-1097.1999.tb08277.x,39
39,O=C([O-])c1ccccc1C1=c2cc3c4c(c2Oc2c1cc1c5c2CCCN5CCC1)CCC[N+]=4CCC3,[2H]O[2H],,,4.8,,,https://doi.org/10.1111/j.1751-1097.1999.tb08277.x,40
40,CCN(CC)c1ccc2c(-c3ccccc3C(=O)[O-])c3ccc(=[N+](CC)CC)cc-3oc2c1,CO,,,2.48,0.7,,"https://doi.org/10.1111/j.1751-1097.1999.tb08277.x, 10.1021/ac062160k",41
41,CCN(CC)c1ccc2c(c1)OC1=CC(N(CC)CC)C=CC1[C+]2c1ccccc1C(=O)O,CO,,,2.15,,,https://doi.org/10.1111/j.1751-1097.1999.tb08277.x,42
42,O=C([O-])c1ccccc1-c1c2ccc(=O)cc-2oc2cc([O-])ccc12,CO,,,4.28,,,https://doi.org/10.1111/j.1751-1097.1999.tb08277.x,43
43,O=C([O-])c1ccccc1C1=c2cc3c4c(c2Oc2c1cc1c5c2CCCN5CCC1)CCC[N+]=4CCC3,CO,,,4.59,1.0,,https://doi.org/10.1111/j.1751-1097.1999.tb08277.x,44
44,CCN(CC)c1ccc2c(c1)OC1=CC(N(CC)CC)C=CC1[C+]2c1ccccc1C(=O)O,CCO,,,2.45,,,https://doi.org/10.1111/j.1751-1097.1999.tb08277.x,45
45,O=C([O-])c1ccccc1-c1c2ccc(=O)cc-2oc2cc([O-])ccc12,CCO,,,4.25,,,https://doi.org/10.1111/j.1751-1097.1999.tb08277.x,46
46,CCN(CC)c1ccc2c(-c3ccccc3C(=O)[O-])c3ccc(=[N+](CC)CC)cc-3oc2c1,CC(C)O,,,3.26,,,https://doi.org/10.1111/j.1751-1097.1999.tb08277.x,47
47,CCN(CC)c1ccc2c(c1)OC1=CC(N(CC)CC)C=CC1[C+]2c1ccccc1C(=O)O,CC(C)O,,,2.69,,,https://doi.org/10.1111/j.1751-1097.1999.tb08277.x,48
48,CCNc1cc2oc3c/c(=[NH+]\CC)c(C)cc-3c(-c3ccccc3C(=O)OCC)c2cc1C,CC(C)O,,,3.96,,,https://doi.org/10.1111/j.1751-1097.1999.tb08277.x,49
49,O=C([O-])c1ccccc1-c1c2ccc(=O)cc-2oc2cc([O-])ccc12,CC(C)O,,,4.36,,,https://doi.org/10.1111/j.1751-1097.1999.tb08277.x,50
50,O=C([O-])c1ccccc1C1=c2cc3c4c(c2Oc2c1cc1c5c2CCCN5CCC1)CCC[N+]=4CCC3,CC(C)O,,,4.36,,,https://doi.org/10.1111/j.1751-1097.1999.tb08277.x,51
51,CCN(CC)c1ccc2c(-c3ccccc3C(=O)[O-])c3ccc(=[N+](CC)CC)cc-3oc2c1,CCCO,,,3.27,,,https://doi.org/10.1111/j.1751-1097.1999.tb08277.x,52
52,CCN(CC)c1ccc2c(c1)OC1=CC(N(CC)CC)C=CC1[C+]2c1ccccc1C(=O)O,CCCO,,,2.79,,,https://doi.org/10.1111/j.1751-1097.1999.tb08277.x,53
53,CCNc1cc2oc3c/c(=[NH+]\CC)c(C)cc-3c(-c3ccccc3C(=O)OCC)c2cc1C,CCCO,,,3.95,,,https://doi.org/10.1111/j.1751-1097.1999.tb08277.x,54
54,O=C([O-])c1ccccc1-c1c2ccc(=O)cc-2oc2cc([O-])ccc12,CCCO,,,4.42,,,https://doi.org/10.1111/j.1751-1097.1999.tb08277.x,55
55,O=C([O-])c1ccccc1C1=c2cc3c4c(c2Oc2c1cc1c5c2CCCN5CCC1)CCC[N+]=4CCC3,CCCO,,,4.3,,,https://doi.org/10.1111/j.1751-1097.1999.tb08277.x,56
56,CCN(CC)c1ccc2c(-c3ccccc3C(=O)[O-])c3ccc(=[N+](CC)CC)cc-3oc2c1,CCCCO,,,3.37,,,https://doi.org/10.1111/j.1751-1097.1999.tb08277.x,57
57,CCN(CC)c1ccc2c(c1)OC1=CC(N(CC)CC)C=CC1[C+]2c1ccccc1C(=O)O,CCCCO,,,2.98,,,https://doi.org/10.1111/j.1751-1097.1999.tb08277.x,58
58,CCNc1cc2oc3c/c(=[NH+]\CC)c(C)cc-3c(-c3ccccc3C(=O)OCC)c2cc1C,CCCCO,,,3.89,,,https://doi.org/10.1111/j.1751-1097.1999.tb08277.x,59
59,O=C([O-])c1ccccc1-c1c2ccc(=O)cc-2oc2cc([O-])ccc12,CCCCO,,,4.4,,,https://doi.org/10.1111/j.1751-1097.1999.tb08277.x,60
60,O=C([O-])c1ccccc1C1=c2cc3c4c(c2Oc2c1cc1c5c2CCCN5CCC1)CCC[N+]=4CCC3,CCCCO,,,4.3,,,https://doi.org/10.1111/j.1751-1097.1999.tb08277.x,61
61,CCN(CC)c1ccc2c(-c3ccccc3C(=O)[O-])c3ccc(=[N+](CC)CC)cc-3oc2c1,CCCCCCO,,,3.41,,,https://doi.org/10.1111/j.1751-1097.1999.tb08277.x,62
62,CCN(CC)c1ccc2c(c1)OC1=CC(N(CC)CC)C=CC1[C+]2c1ccccc1C(=O)O,CCCCCCO,,,3.09,,,https://doi.org/10.1111/j.1751-1097.1999.tb08277.x,63
63,CCNc1cc2oc3c/c(=[NH+]\CC)c(C)cc-3c(-c3ccccc3C(=O)OCC)c2cc1C,CCCCCCO,,,3.88,,,https://doi.org/10.1111/j.1751-1097.1999.tb08277.x,64
64,O=C([O-])c1ccccc1-c1c2ccc(=O)cc-2oc2cc([O-])ccc12,CCCCCCO,,,4.48,,,https://doi.org/10.1111/j.1751-1097.1999.tb08277.x,65
65,O=C([O-])c1ccccc1C1=c2cc3c4c(c2Oc2c1cc1c5c2CCCN5CCC1)CCC[N+]=4CCC3,CCCCCCO,,,4.27,,,https://doi.org/10.1111/j.1751-1097.1999.tb08277.x,66
66,CCN(CC)c1ccc2c(-c3ccccc3C(=O)[O-])c3ccc(=[N+](CC)CC)cc-3oc2c1,CCCCCCCCO,,,3.42,,,https://doi.org/10.1111/j.1751-1097.1999.tb08277.x,67
67,CCN(CC)c1ccc2c(c1)OC1=CC(N(CC)CC)C=CC1[C+]2c1ccccc1C(=O)O,CCCCCCCCO,,,3.18,,,https://doi.org/10.1111/j.1751-1097.1999.tb08277.x,68
68,CCNc1cc2oc3c/c(=[NH+]\CC)c(C)cc-3c(-c3ccccc3C(=O)OCC)c2cc1C,CCCCCCCCO,,,3.83,,,https://doi.org/10.1111/j.1751-1097.1999.tb08277.x,69
69,O=C([O-])c1ccccc1-c1c2ccc(=O)cc-2oc2cc([O-])ccc12,CCCCCCCCO,,,4.52,,,https://doi.org/10.1111/j.1751-1097.1999.tb08277.x,70
70,O=C([O-])c1ccccc1C1=c2cc3c4c(c2Oc2c1cc1c5c2CCCN5CCC1)CCC[N+]=4CCC3,CCCCCCCCO,,,4.17,,,https://doi.org/10.1111/j.1751-1097.1999.tb08277.x,71
71,O=C([O-])c1ccccc1-c1c2cc(Br)c(=O)c(Br)c-2oc2c(Br)c([O-])c(Br)cc12,O,515.0,538.0,1.425,0.2,,doi/10.1021/ja00455a017,72
72,O=C([O-])c1ccccc1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c([O-])c(I)cc12,O,521.0,534.0,0.115,0.02,,doi/10.1021/ja00455a017,73
